2020-10-09/16:23:29		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:30		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:23:31		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:23:32		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:23:34		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:23:35		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:23:37		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-09/16:50:34		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:50:37		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:50:38		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:50:39		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:50:42		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:45		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:50:46		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-15/11:11:38		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-15/11:11:41		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:44		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-03-05/15:47:46		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-03-05/15:47:46		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-03-05/15:47:47		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-03-05/15:47:47		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-03-05/15:47:48		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-03-05/15:47:48		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-03-05/15:47:50		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-03-05/15:47:52		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-03-05/15:47:52		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-03-05/16:23:08		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-03-05/16:23:09		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-03-05/16:23:09		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-03-05/16:23:09		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-03-05/16:23:10		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-03-05/16:23:10		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-03-05/16:23:11		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-03-05/16:23:12		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-03-05/16:23:12		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-03-05/17:02:14		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-03-05/17:02:15		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-03-05/17:02:15		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-03-05/17:02:16		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-03-05/17:02:16		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-03-05/17:02:16		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-03-05/17:02:17		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-03-05/17:02:18		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-03-05/17:02:18		 wafer_29012020_050617.csv: File Transformed successfully!!
